"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","success","button_pressed","left_right_s1","left_right_s2","reward_s1","reward_s2"
"html-keyboard-response","22","23149","0.0-4.0-2.4","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/reward.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","23","23806","0.0-4.0-3.4","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","24","24830","0.0-4.0-0.5","1023.2400000022608","","","","0","2","1","1","0"
"html-keyboard-response","25","25334","0.0-4.0-1.5","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","26","26338","0.0-4.0-2.5","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/reward.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","27","27421","0.0-4.0-3.5","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","28","28462","0.0-4.0-0.6","1040.2049999975134","","","","0","1","2","1","0"
"html-keyboard-response","29","28965","0.0-4.0-1.6","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","30","29969","0.0-4.0-2.6","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/reward.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","31","30573","0.0-4.0-3.6","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","32","31660","0.0-4.0-0.7","1086.2399999969057","","","","0","2","1","1","0"
"html-keyboard-response","33","32162","0.0-4.0-1.7","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","34","33164","0.0-4.0-2.7","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/reward.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","35","34043","0.0-4.0-3.7","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","36","35070","0.0-4.0-0.8","1026.9249999983003","","","","0","1","2","0","0"
"html-keyboard-response","37","35572","0.0-4.0-1.8","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","38","36577","0.0-4.0-2.8","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/punishment.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","39","37220","0.0-4.0-3.8","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","40","38086","0.0-4.0-0.9","864.8900000043795","","","","1","2","1","0","0"
"html-keyboard-response","41","38590","0.0-4.0-1.9","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2s.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","42","39592","0.0-4.0-2.9","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/reward.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","43","40258","0.0-4.0-3.9","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","44","41114","0.0-4.0-0.10","855.0949999989825","","","","1","1","2","1","0"
"html-keyboard-response","45","41615","0.0-4.0-1.10","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2s.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","46","42619","0.0-4.0-2.10","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/punishment.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","47","43901","0.0-4.0-3.10","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","48","44664","0.0-4.0-0.11","762.2899999987567","","","","0","1","2","1","1"
"html-keyboard-response","49","45167","0.0-4.0-1.11","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","50","46171","0.0-4.0-2.11","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/reward.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","51","47472","0.0-4.0-3.11","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","52","48189","0.0-4.0-0.12","715.9200000023702","","","","0","1","2","1","0"
"html-keyboard-response","53","48691","0.0-4.0-1.12","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","54","49695","0.0-4.0-2.12","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/reward.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","55","50671","0.0-4.0-3.12","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","56","52034","0.0-4.0-0.13","1361.9699999981094","","","","0","2","1","1","0"
"html-keyboard-response","57","52536","0.0-4.0-1.13","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","58","53537","0.0-4.0-2.13","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/reward.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","59","54693","0.0-4.0-3.13","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","60","55203","0.0-4.0-0.14","508.9150000057998","","","","0","2","1","1","1"
"html-keyboard-response","61","55704","0.0-4.0-1.14","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","62","56707","0.0-4.0-2.14","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/reward.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","63","57843","0.0-4.0-3.14","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","64","58428","0.0-4.0-0.15","585.0849999987986","","","","0","2","1","0","0"
"html-keyboard-response","65","58932","0.0-4.0-1.15","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","66","59934","0.0-4.0-2.15","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/punishment.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","67","61031","0.0-4.0-3.15","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","68","61625","0.0-4.0-0.16","592.7400000000489","","","","1","1","2","1","0"
"html-keyboard-response","69","62128","0.0-4.0-1.16","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2s.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","70","63132","0.0-4.0-2.16","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/punishment.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","71","64574","0.0-4.0-3.16","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","72","65459","0.0-4.0-0.17","883.7100000018836","","","","0","1","2","1","0"
"html-keyboard-response","73","65959","0.0-4.0-1.17","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","74","66964","0.0-4.0-2.17","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/reward.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","75","67862","0.0-4.0-3.17","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","76","68861","0.0-4.0-0.18","998.2149999996182","","","","0","2","1","0","0"
"html-keyboard-response","77","69365","0.0-4.0-1.18","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","78","70370","0.0-4.0-2.18","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/punishment.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","79","70940","0.0-4.0-3.18","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","80","71873","0.0-4.0-0.19","931.5849999984493","","","","1","2","1","1","0"
"html-keyboard-response","81","72373","0.0-4.0-1.19","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2s.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","82","73375","0.0-4.0-2.19","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/reward.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","83","74540","0.0-4.0-3.19","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","84","76057","0.0-4.0-0.20","1515.3299999947194","","","","0","2","1","1","0"
"html-keyboard-response","85","76559","0.0-4.0-1.20","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","86","77563","0.0-4.0-2.20","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/reward.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","87","79008","0.0-4.0-3.20","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","88","80039","0.0-4.0-0.21","1029.88500000356","","","","0","1","2","0","0"
"html-keyboard-response","89","80542","0.0-4.0-1.21","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","90","81545","0.0-4.0-2.21","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/punishment.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","91","82096","0.0-4.0-3.21","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","92","82695","0.0-4.0-0.22","597.9499999957625","","","","1","2","1","1","0"
"html-keyboard-response","93","83199","0.0-4.0-1.22","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2s.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","94","84204","0.0-4.0-2.22","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/reward.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","95","85279","0.0-4.0-3.22","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","96","86199","0.0-4.0-0.23","918.6049999989336","","","","1","1","2","1","0"
"html-keyboard-response","97","86702","0.0-4.0-1.23","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2s.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","98","87704","0.0-4.0-2.23","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/punishment.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","99","88876","0.0-4.0-3.23","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","100","89382","0.0-4.0-0.24","505.1450000028126","","","","0","2","1","1","1"
"html-keyboard-response","101","89884","0.0-4.0-1.24","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","102","90887","0.0-4.0-2.24","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/reward.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","103","92281","0.0-4.0-3.24","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","104","93169","0.0-4.0-0.25","886.4250000042375","","","","0","2","1","1","0"
"html-keyboard-response","105","93671","0.0-4.0-1.25","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","106","94675","0.0-4.0-2.25","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/reward.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","107","95918","0.0-4.0-3.25","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","108","96921","0.0-4.0-0.26","1002.2849999950267","","","","0","1","2","1","0"
"html-keyboard-response","109","97425","0.0-4.0-1.26","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","110","98428","0.0-4.0-2.26","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/reward.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","111","99015","0.0-4.0-3.26","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","112","100013","0.0-4.0-0.27","996.2050000031013","","","","0","2","1","0","1"
"html-keyboard-response","113","100515","0.0-4.0-1.27","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","114","101519","0.0-4.0-2.27","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/punishment.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","115","102575","0.0-4.0-3.27","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","116","103231","0.0-4.0-0.28","654.949999996461","","","","1","1","2","1","0"
"html-keyboard-response","117","103736","0.0-4.0-1.28","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2s.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","118","104740","0.0-4.0-2.28","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/punishment.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","119","105634","0.0-4.0-3.28","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","120","106777","0.0-4.0-0.29","1142.0450000005076","","","","0","1","2","1","0"
"html-keyboard-response","121","107281","0.0-4.0-1.29","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","122","108286","0.0-4.0-2.29","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/reward.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","123","109570","0.0-4.0-3.29","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","124","110663","0.0-4.0-0.30","1091.950000001816","","","","0","2","1","1","0"
"html-keyboard-response","125","111166","0.0-4.0-1.30","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","126","112167","0.0-4.0-2.30","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/reward.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","127","113129","0.0-4.0-3.30","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","128","114355","0.0-4.0-0.31","1224.67499999766","","","","1","2","1","1","0"
"html-keyboard-response","129","114858","0.0-4.0-1.31","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2s.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","130","115863","0.0-4.0-2.31","null","<p style='position: absolute; top: 40%;right: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;left: 20%'><img src='img/s2s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/reward.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","131","117287","0.0-4.0-3.31","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","132","118111","0.0-4.0-0.32","822.600000006787","","","","1","1","2","0","0"
"html-keyboard-response","133","118614","0.0-4.0-1.32","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2s.jpeg' width='200px'/></p>","null","","","","","",""
